,timestamp,sog,cog
193,1657864894.624342,,
194,1657864895.3538122,7.0,322.1
195,1657864895.6235883,,
196,1657864896.3539877,6.9,322.9
197,1657864896.6236756,,
198,1657864897.3538473,7.0,323.6
199,1657864897.6234837,,
200,1657864898.35257,7.0,324.2
201,1657864898.6225114,,
202,1657864899.354239,7.0,324.7
203,1657864899.6240423,,
204,1657864900.3529484,7.0,324.8
205,1657864900.6226745,,
206,1657864901.3541107,7.0,325.1
207,1657864901.623998,,
208,1657864902.3528187,7.0,325.6
209,1657864902.622645,,
210,1657864903.354068,7.0,325.7
211,1657864903.623852,,
212,1657864904.3542871,7.0,325.8
213,1657864904.6240764,,
214,1657864905.3528574,7.0,326.0
215,1657864905.6225889,,
216,1657864906.3528152,7.0,325.8
217,1657864906.6226552,,
218,1657864907.352987,7.0,325.7
219,1657864907.6228316,,
220,1657864908.3539646,7.0,325.9
221,1657864908.623764,,
222,1657864909.354214,7.0,325.9
223,1657864909.6240203,,
224,1657864910.3527427,7.0,325.9
225,1657864910.622527,,
226,1657864911.3574753,7.0,325.7
227,1657864911.6272624,,
228,1657864912.357708,7.0,325.5
229,1657864912.6274955,,
230,1657864913.3529987,7.0,325.5
231,1657864913.6227942,,
232,1657864914.3539903,7.0,325.3
233,1657864914.6238823,,
234,1657864915.3533957,7.0,325.3
235,1657864915.6232219,,
236,1657864916.3557258,7.0,325.3
237,1657864916.6254163,,
238,1657864917.3539796,7.0,324.8
239,1657864917.623742,,
240,1657864918.3542314,7.0,325.2
241,1657864918.6238484,,
242,1657864919.3572063,7.0,325.1
243,1657864919.6269014,,
244,1657864920.352466,7.0,325.3
245,1657864920.6222062,,
246,1657864921.3528123,7.0,325.4
247,1657864921.6225035,,
248,1657864922.3528066,7.0,325.4
249,1657864922.6226873,,
250,1657864923.3542347,7.0,325.4
251,1657864923.6241424,,
252,1657864924.3572898,7.0,325.7
253,1657864924.626969,,
254,1657864925.3528461,7.0,325.7
255,1657864925.6225395,,
256,1657864926.3533437,7.0,326.1
257,1657864926.6229768,,
258,1657864927.3530958,7.1,325.6
259,1657864927.6228516,,
260,1657864928.359078,7.1,325.5
261,1657864928.6288702,,
262,1657864929.3543153,7.1,325.1
263,1657864929.623968,,
264,1657864930.35597,7.1,324.6
265,1657864930.625797,,
266,1657864931.3583503,7.1,324.3
267,1657864931.62821,,
268,1657864932.3544195,7.0,324.0
269,1657864932.6241684,,
270,1657864933.3588293,7.1,323.4
271,1657864933.6285558,,
272,1657864934.3576796,7.0,323.0
273,1657864934.6274664,,
274,1657864935.3578157,7.0,322.6
275,1657864935.6275182,,
276,1657864936.3587656,7.0,322.1
277,1657864936.628497,,
278,1657864937.3533416,7.0,321.7
279,1657864937.6230772,,
280,1657864938.354465,7.0,321.5
281,1657864938.6241999,,
282,1657864939.3587668,7.0,321.1
283,1657864939.6287234,,
284,1657864940.3584208,7.0,320.5
285,1657864940.6282618,,
286,1657864941.3588336,7.0,320.5
287,1657864941.6286056,,
288,1657864942.3536391,7.0,320.4
289,1657864942.6233776,,
290,1657864943.3566942,7.0,320.3
291,1657864943.6265104,,
292,1657864944.357145,7.0,320.7
293,1657864944.6268783,,
294,1657864945.3584368,7.0,320.6
295,1657864945.6281264,,
296,1657864946.3576705,7.0,320.8
297,1657864946.6275632,,
298,1657864947.3557987,7.0,321.1
299,1657864947.6255522,,
300,1657864948.3589196,7.0,321.2
301,1657864948.6286657,,
302,1657864949.3586524,7.0,321.5
303,1657864949.6285555,,
304,1657864950.3569436,7.0,321.7
305,1657864950.6267042,,
306,1657864951.3595366,7.0,322.0
307,1657864951.628594,,
308,1657864952.3588665,7.0,322.6
309,1657864952.6287148,,
310,1657864953.3545067,7.0,322.9
311,1657864953.6242213,,
312,1657864954.3588924,7.0,323.6
313,1657864954.6285872,,
314,1657864955.354557,7.1,324.1
315,1657864955.6242332,,
316,1657864956.357052,7.1,324.5
317,1657864956.626766,,
318,1657864957.3541653,7.1,324.8
319,1657864957.62384,,
320,1657864958.3529086,7.1,324.7
321,1657864958.6226885,,
322,1657864959.3585138,7.1,324.5
323,1657864959.6282527,,
324,1657864960.3533816,7.1,324.1
325,1657864960.623154,,
326,1657864961.3545678,7.1,323.8
327,1657864961.6245239,,
328,1657864962.3574991,7.1,323.3
329,1657864962.6273468,,
330,1657864963.354396,7.1,322.9
331,1657864963.624226,,
332,1657864964.3582382,7.1,322.5
333,1657864964.6281006,,
334,1657864965.3530583,7.1,322.3
335,1657864965.6229146,,
336,1657864966.3544056,7.1,322.0
